Date,Open,High,Low,Close,Volume,Ticker,Sentiment_tweet,Sentiment_news
2024-08-06,204.83728149035767,209.51671322927783,200.6168196653937,206.7629241943359,69660500,AAPL,-0.0396871794871794,
2024-08-07,206.43367474426563,213.15848935419993,205.9248296826355,209.34710693359375,63516400,AAPL,0.3426230769230768,
2024-08-08,212.6296774525561,213.71721707569145,208.35932525259923,212.8292236328125,47161100,AAPL,0.3133583333333333,
2024-08-09,211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,AAPL,0.0354411764705882,0.4103846153846154
2024-08-10,211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,AAPL,0.2154727272727273,0.2387611111111111
2024-08-11,211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,AAPL,0.2098,0.16749523809523809
2024-08-12,215.83255236617865,219.26875909808803,215.36306766380915,217.2909393310547,38028100,AAPL,0.2454351851851851,0.1460878048780488
2024-08-13,218.76929897291208,221.646138683676,218.76929897291208,221.02682495117188,44155300,AAPL,0.1507311475409836,0.2545271186440678
2024-08-14,220.3276035510778,222.7848915052682,219.45854930599305,221.4763336181641,41960600,AAPL,0.1901441860465116,0.16322048192771085
2024-08-06,103.831112652184,107.70078431354553,100.54140083049032,104.24108123779295,409012100,NVDA,0.0682210526315789,
2024-08-07,107.80077523327128,108.79069603899508,98.68156026230228,98.90154266357422,411440400,NVDA,0.2081357142857142,
2024-08-08,101.99127427531292,105.4909748631913,97.51165416618215,104.96102142333984,391910000,NVDA,0.1251941176470588,
2024-08-09,105.63096637885822,106.5908833762224,103.42115626585178,104.74104309082033,290844200,NVDA,0.3311,
2024-08-10,105.63096637885822,106.5908833762224,103.42115626585178,104.74104309082033,290844200,NVDA,0.3554923076923077,0.936
2024-08-11,105.63096637885822,106.5908833762224,103.42115626585178,104.74104309082033,290844200,NVDA,0.20485,0.07794666666666666
2024-08-12,106.31090747175932,111.06050126352302,106.25091504400818,109.01067352294922,325559900,NVDA,0.25154,0.23357714285714287
2024-08-13,112.43038543102408,116.220062187201,111.57045837665454,116.13006591796876,312646700,NVDA,0.2375954545454545,0.33078059701492535
2024-08-14,118.51985896532126,118.589852671924,114.0602414176875,118.06990051269533,339246400,NVDA,0.2590428571428572,0.23209759036144578
2024-08-06,399.2803346769082,404.94014682452905,397.7830334218698,398.8910217285156,24946500,MSFT,0.2244085106382978,
2024-08-07,407.9048180980064,409.3421993250031,396.7549009776476,397.7131652832031,20650900,MSFT,0.2173464285714286,
2024-08-08,401.71593441788025,405.1297641120261,399.2204324052767,401.9654846191406,20203000,MSFT,0.2624473684210525,
2024-08-09,403.3030798438404,407.3158362110672,401.5362753425401,405.28948974609375,19276700,MSFT,0.2200342105263157,0.25814137931034487
2024-08-10,403.3030798438404,407.3158362110672,401.5362753425401,405.28948974609375,19276700,MSFT,0.1038363636363636,0.317715
2024-08-11,403.3030798438404,407.3158362110672,401.5362753425401,405.28948974609375,19276700,MSFT,0.18894,0.29997999999999997
2024-08-12,406.3276141642008,408.0245677048975,403.5126806044117,406.07806396484375,16762900,MSFT,0.2784120689655172,0.21743043478260873
2024-08-13,408.8530756322429,414.20344793901165,408.83312258213994,413.26513671875,19414300,MSFT,0.2283728813559322,0.26625531914893613
2024-08-14,414.05369406899246,416.9684539100364,411.70794647746885,416.1099853515625,18267000,MSFT,0.2370111111111111,0.16600933333333331
2024-08-06,159.11886106034058,160.3572233242791,156.20273241161613,158.08023071289062,49004600,GOOGL,-0.0579772727272727,
2024-08-07,161.0363063938684,162.76400947628738,158.25999175698507,158.7293701171875,25138600,GOOGL,0.464,
2024-08-08,160.29728713235718,163.47308092972898,159.99769688233283,161.81527709960938,25578800,GOOGL,0.1807142857142857,
2024-08-09,159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,GOOGL,0.3944571428571429,0.14780526315789475
2024-08-10,159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,GOOGL,0.37022,0.18210833333333332
2024-08-11,159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,GOOGL,0.0564368421052631,0.16277777777777777
2024-08-12,164.13220346738748,164.68146239642743,161.62552005846075,162.07492065429688,15895300,GOOGL,0.119495,0.2789128205128205
2024-08-13,163.19345300516065,164.51169581936622,162.75403365423605,163.9424591064453,18551700,GOOGL,0.1876060975609756,0.25904098360655736
2024-08-14,162.18477930150115,163.00369994129383,157.50100735121106,160.157470703125,40591100,GOOGL,0.1592418181818181,0.223325641025641
2024-08-06,161.7100067138672,165.0800018310547,158.5399932861328,161.92999267578125,59950800,AMZN,0.213,
2024-08-07,166.5500030517578,167.5800018310547,161.42999267578125,162.77000427246094,48408200,AMZN,0.3560166666666666,
2024-08-08,165.1699981689453,166.69000244140625,162.5500030517578,165.8000030517578,44616200,AMZN,0.1713857142857142,0.06734285714285715
2024-08-09,166.39999389648438,168.5500030517578,165.85000610351562,166.94000244140625,36401000,AMZN,0.33885,0.24547750000000002
2024-08-10,166.39999389648438,168.5500030517578,165.85000610351562,166.94000244140625,36401000,AMZN,0.1939249999999999,0.42579375
2024-08-11,166.39999389648438,168.5500030517578,165.85000610351562,166.94000244140625,36401000,AMZN,0.0674125,0.16395454545454546
2024-08-12,168.13999938964844,168.5500030517578,166.11000061035156,166.8000030517578,30072800,AMZN,0.3340395833333333,0.4389658536585366
2024-08-13,167.80999755859375,171.0399932861328,167.10000610351562,170.22999572753906,39237900,AMZN,0.2730549295774648,0.30083333333333334
