Date,Open,High,Low,Close,Volume,Ticker
2024-08-06,204.83728149035767,209.51671322927783,200.6168196653937,206.76292419433594,69660500,AAPL
2024-08-07,206.43367474426563,213.15848935419993,205.9248296826355,209.34710693359375,63516400,AAPL
2024-08-08,212.6296774525561,213.71721707569145,208.35932525259923,212.8292236328125,47161100,AAPL
2024-08-09,211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,AAPL
2024-08-10,211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,AAPL
2024-08-11,211.62197118803232,216.29141600978787,211.4922593126285,215.7526397705078,42201600,AAPL
2024-08-12,215.83255236617862,219.26875909808805,215.36306766380915,217.2909393310547,38028100,AAPL
2024-08-13,218.76929897291208,221.646138683676,218.76929897291208,221.02682495117188,44155300,AAPL
2024-08-14,220.3276035510778,222.7848915052682,219.45854930599305,221.47633361816406,41960600,AAPL
2024-08-06,103.83111265218399,107.70078431354553,100.54140083049033,104.24108123779297,409012100,NVDA
2024-08-07,107.80077523327128,108.79069603899508,98.68156026230227,98.90154266357422,411440400,NVDA
2024-08-08,101.99127427531292,105.4909748631913,97.51165416618215,104.96102142333984,391910000,NVDA
2024-08-09,105.63096637885822,106.59088337622241,103.42115626585178,104.74104309082031,290844200,NVDA
2024-08-10,105.63096637885822,106.59088337622241,103.42115626585178,104.74104309082031,290844200,NVDA
2024-08-11,105.63096637885822,106.59088337622241,103.42115626585178,104.74104309082031,290844200,NVDA
2024-08-12,106.31090747175931,111.06050126352302,106.25091504400818,109.01067352294922,325559900,NVDA
2024-08-13,112.43038543102408,116.220062187201,111.57045837665454,116.13006591796875,312646700,NVDA
2024-08-14,118.51985896532126,118.589852671924,114.0602414176875,118.06990051269531,339246400,NVDA
2024-08-06,399.2803346769082,404.94014682452905,397.7830334218698,398.8910217285156,24946500,MSFT
2024-08-07,407.9048180980064,409.34219932500315,396.7549009776476,397.7131652832031,20650900,MSFT
2024-08-08,401.71593441788025,405.1297641120261,399.2204324052767,401.9654846191406,20203000,MSFT
2024-08-09,403.3030798438404,407.3158362110672,401.5362753425401,405.28948974609375,19276700,MSFT
2024-08-10,403.3030798438404,407.3158362110672,401.5362753425401,405.28948974609375,19276700,MSFT
2024-08-11,403.3030798438404,407.3158362110672,401.5362753425401,405.28948974609375,19276700,MSFT
2024-08-12,406.32761416420084,408.0245677048975,403.5126806044117,406.07806396484375,16762900,MSFT
2024-08-13,408.85307563224285,414.20344793901165,408.83312258213994,413.26513671875,19414300,MSFT
2024-08-14,414.05369406899246,416.96845391003643,411.70794647746885,416.1099853515625,18267000,MSFT
2024-08-06,159.11886106034058,160.3572233242791,156.20273241161613,158.08023071289062,49004600,GOOGL
2024-08-07,161.0363063938684,162.76400947628738,158.25999175698507,158.7293701171875,25138600,GOOGL
2024-08-08,160.29728713235718,163.47308092972898,159.99769688233283,161.81527709960938,25578800,GOOGL
2024-08-09,159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,GOOGL
2024-08-10,159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,GOOGL
2024-08-11,159.79795615821598,163.57294584604068,158.8492181049867,163.45310974121094,28602300,GOOGL
2024-08-12,164.13220346738748,164.68146239642743,161.62552005846075,162.07492065429688,15895300,GOOGL
2024-08-13,163.19345300516065,164.51169581936622,162.75403365423605,163.9424591064453,18551700,GOOGL
2024-08-14,162.18477930150115,163.00369994129383,157.50100735121106,160.157470703125,40591100,GOOGL
2024-08-06,161.7100067138672,165.0800018310547,158.5399932861328,161.92999267578125,59950800,AMZN
2024-08-07,166.5500030517578,167.5800018310547,161.42999267578125,162.77000427246094,48408200,AMZN
2024-08-08,165.1699981689453,166.69000244140625,162.5500030517578,165.8000030517578,44616200,AMZN
2024-08-09,166.39999389648438,168.5500030517578,165.85000610351562,166.94000244140625,36401000,AMZN
2024-08-10,166.39999389648438,168.5500030517578,165.85000610351562,166.94000244140625,36401000,AMZN
2024-08-11,166.39999389648438,168.5500030517578,165.85000610351562,166.94000244140625,36401000,AMZN
2024-08-12,168.13999938964844,168.5500030517578,166.11000061035156,166.8000030517578,30072800,AMZN
2024-08-13,167.80999755859375,171.0399932861328,167.10000610351562,170.22999572753906,39237900,AMZN
2024-08-14,172.11000061035156,172.27999877929688,168.86000061035156,170.10000610351562,28843800,AMZN
2024-08-06,478.54346551440767,502.0810080597113,478.1937930014065,493.61907958984375,20955000,META
2024-08-07,502.65048892680744,509.66378742965634,486.3959757932957,488.45404052734375,20105300,META
2024-08-08,497.0258430822951,509.47395917829186,494.24849386209854,509.144287109375,16156800,META
2024-08-09,507.22611009211715,517.8460143623263,505.21804648787173,517.2765502929688,13696600,META
2024-08-10,507.22611009211715,517.8460143623263,505.21804648787173,517.2765502929688,13696600,META
2024-08-11,507.22611009211715,517.8460143623263,505.21804648787173,517.2765502929688,13696600,META
2024-08-12,516.3673577876184,517.5262863200741,508.61477470058526,515.458251953125,9767400,META
2024-08-13,519.5144160769801,530.993455817065,517.6562033778356,528.0362548828125,13743800,META
2024-08-14,527.5567444807748,533.4910859659929,522.6314501991138,526.2579956054688,11444200,META
2024-08-06,200.75,202.89999389648438,192.6699981689453,200.63999938964844,73783900,TSLA
2024-08-07,200.77000427246094,203.49000549316406,191.47999572753906,191.75999450683594,71159800,TSLA
2024-08-08,195.6999969482422,200.6999969482422,192.0399932861328,198.83999633789062,65033900,TSLA
2024-08-09,197.0500030517578,200.8800048828125,195.11000061035156,200.0,58648300,TSLA
